LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.295, Time: 7.297101 s
         1405681 function calls (1391293 primitive calls) in 10.618 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  754/373    0.002    0.000    0.003    0.000 {built-in method builtins.hash}
     1119    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
      640    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
      243    0.002    0.000    0.003    0.000 inspect.py:2573(__str__)
      465    0.002    0.000    0.004    0.000 __init__.py:729(__getitem__)
      443    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      241    0.002    0.000    0.025    0.000 rcsetup.py:279(validate_color_for_prop_cycle)
      206    0.002    0.000    0.093    0.000 sre_compile.py:598(_code)
      409    0.002    0.000    0.002    0.000 function_base.py:346(iterable)
      278    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
  406/196    0.002    0.000    0.004    0.000 typing.py:720(__hash__)
      215    0.002    0.000    0.004    0.000 sre_parse.py:84(opengroup)
      317    0.002    0.000    0.003    0.000 function_base.py:451(_needs_add_docstring)
      151    0.002    0.000    0.003    0.000 fromnumeric.py:69(_wrapreduction)
       50    0.002    0.000    0.007    0.000 deprecation.py:457(<listcomp>)
      112    0.002    0.000    1.370    0.012 artist.py:1841(kwdoc)
      147    0.002    0.000    0.003    0.000 typing.py:172(_collect_type_vars)
        1    0.002    0.002    0.002    0.002 {built-in method _posixsubprocess.fork_exec}
        1    0.002    0.002    0.002    0.002 _cm_listed.py:1(<module>)
      169    0.002    0.000    0.003    0.000 sre_compile.py:249(_compile_charset)
      317    0.002    0.000    0.005    0.000 function_base.py:469(_add_docstring)
      715    0.001    0.000    0.001    0.000 functools.py:64(wraps)
      842    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
     25/6    0.001    0.000    0.010    0.002 core.py:3816(streamline)
        1    0.001    0.001    0.004    0.004 __init__.py:793(copy)
      410    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       12    0.001    0.000    0.012    0.001 _docstring.py:57(<listcomp>)
      538    0.001    0.000    0.002    0.000 rcsetup.py:180(validator)
      206    0.001    0.000    0.002    0.000 sre_parse.py:224(__init__)
      412    0.001    0.000    0.002    0.000 sre_compile.py:595(isstring)
      319    0.001    0.000    0.096    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
      853    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
      835    0.001    0.000    0.001    0.000 {built-in method from_bytes}
      132    0.001    0.000    0.213    0.002 _docstring.py:38(__call__)
      348    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:151(__exit__)
      409    0.001    0.000    0.002    0.000 copyreg.py:90(__newobj__)
   256/18    0.001    0.000    0.038    0.002 ast.py:367(visit)
      920    0.001    0.000    0.001    0.000 inspect.py:2543(default)
       32    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      209    0.001    0.000    0.004    0.000 {built-in method builtins.any}
       63    0.001    0.000    0.009    0.000 core.py:3783(__init__)
      783    0.001    0.000    0.001    0.000 {method '__subclasses__' of 'type' objects}
      674    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
      548    0.001    0.000    0.001    0.000 {built-in method numpy.array}
      661    0.001    0.000    0.001    0.000 {built-in method numpy.asanyarray}
  213/197    0.001    0.000    0.029    0.000 typing.py:255(inner)
       76    0.001    0.000    0.003    0.000 rcsetup.py:91(<listcomp>)
      778    0.001    0.000    0.001    0.000 {function RcParams.__getitem__ at 0x7f9f7e96cc10}
      706    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
      222    0.001    0.000    0.003    0.000 <__array_function__ internals>:177(concatenate)
       50    0.001    0.000    0.002    0.000 deprecation.py:440(<listcomp>)
      750    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      397    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      278    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
      402    0.001    0.000    0.002    0.000 {method 'extend' of 'list' objects}
  215/199    0.001    0.000    0.002    0.000 sre_compile.py:461(_get_literal_prefix)
      720    0.001    0.000    0.001    0.000 {built-in method sys.getrecursionlimit}
      338    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
      120    0.001    0.000    0.002    0.000 posixpath.py:71(join)
       99    0.001    0.000    1.701    0.017 artist.py:126(__init_subclass__)
      275    0.001    0.000    0.005    0.000 inspect.py:2555(replace)
      606    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
      319    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:800(find_spec)
      642    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      344    0.001    0.000    0.002    0.000 inspect.py:80(ismethod)
       33    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
       30    0.001    0.000    0.002    0.000 function_base.py:23(linspace)
      278    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
       34    0.001    0.000    0.001    0.000 {built-in method io.open}
       88    0.001    0.000    0.001    0.000 six.py:141(__init__)
       79    0.001    0.000    0.007    0.000 core.py:3601(__init__)
      571    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      324    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
      439    0.001    0.000    0.001    0.000 {built-in method builtins.repr}
       32    0.001    0.000    0.002    0.000 colors.py:479(<setcomp>)
      312    0.001    0.000    0.002    0.000 rcsetup.py:800(_convert_validator_spec)
      310    0.001    0.000    0.001    0.000 typing.py:329(__hash__)
      132    0.001    0.000    0.005    0.000 ast.py:383(visit_Constant)
       63    0.001    0.000    0.004    0.000 colors.py:1099(<dictcomp>)
      111    0.001    0.000    0.031    0.000 rcsetup.py:88(f)
      198    0.001    0.000    0.001    0.000 enum.py:417(__setattr__)
      486    0.001    0.000    0.004    0.000 {built-in method builtins.next}
      278    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      198    0.001    0.000    0.002    0.000 pyplot.py:93(_copy_docstring_and_deprecators)
      409    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
       46    0.001    0.000    0.002    0.000 _inspect.py:140(formatargspec)
      189    0.001    0.000    0.002    0.000 inspect.py:1720(_signature_get_user_defined_method)
      559    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
       32    0.001    0.000    0.020    0.001 colors.py:1027(from_list)
       35    0.001    0.000    0.025    0.001 rcsetup.py:107(<listcomp>)
       52    0.001    0.000    0.001    0.000 twodim_base.py:162(eye)
       18    0.001    0.000    0.072    0.004 rcsetup.py:721(validate_cycler)
      166    0.001    0.000    0.001    0.000 colors.py:762(__copy__)
