         1023345 function calls (1009209 primitive calls) in 3.813 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1038    0.003    0.000    0.009    0.000 typing.py:762(__setattr__)
      597    0.003    0.000    0.009    0.000 sre_compile.py:423(_simple)
     6267    0.009    0.000    0.009    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.009    0.009 defmatrix.py:1(<module>)
      169    0.003    0.000    0.009    0.000 colors.py:307(_to_rgba_no_colorcycle)
       62    0.000    0.000    0.009    0.000 core.py:1352(__add__)
      733    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     5978    0.009    0.000    0.009    0.000 sre_parse.py:233(__next)
 1435/169    0.004    0.000    0.009    0.000 abc.py:100(__subclasscheck__)
  455/235    0.002    0.000    0.009    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      383    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       48    0.000    0.000    0.009    0.000 typing.py:802(__getitem__)
        1    0.000    0.000    0.009    0.009 extras.py:1(<module>)
     5734    0.008    0.000    0.008    0.000 {method 'strip' of 'str' objects}
       20    0.000    0.000    0.008    0.000 core.py:4779(parseImpl)
      160    0.001    0.000    0.008    0.000 <__array_function__ internals>:177(column_stack)
     25/6    0.001    0.000    0.008    0.001 core.py:3816(streamline)
 1435/169    0.004    0.000    0.008    0.000 {built-in method _abc._abc_subclasscheck}
        2    0.000    0.000    0.008    0.004 core.py:5684(srange)
        1    0.000    0.000    0.008    0.008 widgets.py:1(<module>)
     35/5    0.000    0.000    0.008    0.002 core.py:3675(streamline)
     5312    0.008    0.000    0.008    0.000 {method 'find' of 'str' objects}
       63    0.001    0.000    0.008    0.000 core.py:3783(__init__)
        1    0.000    0.000    0.008    0.008 secrets.py:1(<module>)
     5467    0.008    0.000    0.008    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.008    0.008 transforms.py:1(<module>)
        1    0.000    0.000    0.008    0.008 core.py:5798(<listcomp>)
       39    0.003    0.000    0.008    0.000 __init__.py:313(namedtuple)
      558    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
        1    0.000    0.000    0.007    0.007 linalg.py:1(<module>)
        1    0.000    0.000    0.007    0.007 pickle.py:1(<module>)
     5138    0.007    0.000    0.007    0.000 {built-in method builtins.ord}
       44    0.000    0.000    0.007    0.000 _base.py:52(__init__)
     1681    0.005    0.000    0.007    0.000 inspect.py:158(isfunction)
       37    0.000    0.000    0.007    0.000 typing.py:818(__getitem_inner__)
     4401    0.007    0.000    0.007    0.000 {built-in method builtins.setattr}
      631    0.003    0.000    0.007    0.000 {built-in method builtins.max}
     4223    0.007    0.000    0.007    0.000 {built-in method builtins.sorted}
      169    0.004    0.000    0.007    0.000 sre_compile.py:276(_optimize_charset)
       10    0.000    0.000    0.007    0.001 core.py:2791(_generateDefaultName)
        1    0.000    0.000    0.007    0.007 decoder.py:1(<module>)
        1    0.000    0.000    0.007    0.007 typing.py:1(<module>)
        1    0.000    0.000    0.007    0.007 Image.py:27(<module>)
       15    0.000    0.000    0.007    0.000 core.py:2792(charsAsStr)
      409    0.003    0.000    0.007    0.000 copy.py:258(_reconstruct)
        1    0.003    0.003    0.007    0.007 helpers.py:692(<dictcomp>)
        1    0.000    0.000    0.007    0.007 _base.py:547(_AxesBase)
     27/7    0.000    0.000    0.007    0.001 core.py:4409(streamline)
       32    0.001    0.000    0.007    0.000 colors.py:399(to_rgba_array)
     1550    0.004    0.000    0.007    0.000 sre_parse.py:286(tell)
        1    0.000    0.000    0.006    0.006 helpers.py:648(make_html_tags)
        1    0.000    0.000    0.006    0.006 helpers.py:590(_makeTags)
     10/3    0.000    0.000    0.006    0.002 unicode.py:14(__get__)
     4531    0.006    0.000    0.006    0.000 artist.py:1567(<genexpr>)
        1    0.000    0.000    0.006    0.006 defchararray.py:1(<module>)
        1    0.000    0.000    0.006    0.006 core.py:400(ParserElement)
      308    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
     1038    0.004    0.000    0.006    0.000 typing.py:646(_is_dunder)
    33/15    0.000    0.000    0.006    0.000 core.py:4373(parseImpl)
       50    0.001    0.000    0.006    0.000 deprecation.py:457(<listcomp>)
        1    0.000    0.000    0.006    0.006 figure.py:181(FigureBase)
        1    0.000    0.000    0.006    0.006 __init__.py:208(_check_versions)
     78/4    0.001    0.000    0.006    0.002 core.py:909(_parseCache)
        1    0.000    0.000    0.006    0.006 linecache.py:1(<module>)
      837    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      160    0.002    0.000    0.006    0.000 shape_base.py:612(column_stack)
       53    0.000    0.000    0.006    0.000 typing.py:689(copy_with)
        1    0.000    0.000    0.006    0.006 __init__.py:445(StrFormatStyle)
        2    0.000    0.000    0.006    0.003 function_base.py:1(<module>)
      460    0.003    0.000    0.006    0.000 posixpath.py:60(isabs)
        1    0.000    0.000    0.006    0.006 signal.py:1(<module>)
     1337    0.006    0.000    0.006    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.006    0.006 numerictypes.py:1(<module>)
        1    0.000    0.000    0.006    0.006 platform.py:885(system)
      249    0.002    0.000    0.006    0.000 typing.py:120(_type_check)
        1    0.000    0.000    0.006    0.006 platform.py:747(uname)
1855/1689    0.003    0.000    0.006    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.006    0.006 platform.py:604(_syscmd_uname)
        1    0.000    0.000    0.006    0.006 subprocess.py:368(check_output)
       10    0.000    0.000    0.006    0.001 extras.py:234(__init__)
       44    0.000    0.000    0.006    0.000 _base.py:67(__set_name__)
        1    0.000    0.000    0.006    0.006 subprocess.py:452(run)
       10    0.000    0.000    0.006    0.001 extras.py:238(getdoc)
      215    0.001    0.000    0.006    0.000 sre_parse.py:96(closegroup)
    24/12    0.000    0.000    0.005    0.000 core.py:4108(parseImpl)
        3    0.000    0.000    0.005    0.002 enum.py:483(_convert_)
        2    0.000    0.000    0.005    0.003 unicode.py:55(_chars_for_ranges)
     2433    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x909780}
        5    0.000    0.000    0.005    0.001 enum.py:430(_create_)
      279    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
      415    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        1    0.000    0.000    0.005    0.005 tokenize.py:1(<module>)
       12    0.001    0.000    0.005    0.000 __init__.py:232(define_aliases)
       63    0.002    0.000    0.005    0.000 inspect.py:3057(__str__)
        1    0.000    0.000    0.005    0.005 unicode.py:80(alphanums)
     2239    0.004    0.000    0.005    0.000 sre_parse.py:249(match)
        2    0.003    0.001    0.005    0.003 unicode.py:63(<listcomp>)
      614    0.002    0.000    0.005    0.000 _inspect.py:65(getargs)
        1    0.000    0.000    0.005    0.005 subprocess.py:736(__init__)
      392    0.002    0.000    0.005    0.000 re.py:203(sub)
        1    0.000    0.000    0.005    0.005 shutil.py:1(<module>)
        1    0.000    0.000    0.005    0.005 unicode.py:70(alphas)
        1    0.000    0.000    0.005    0.005 PngImagePlugin.py:34(<module>)
       20    0.000    0.000    0.005    0.000 core.py:4956(parseImpl)
      132    0.001    0.000    0.005    0.000 ast.py:383(visit_Constant)
        1    0.000    0.000    0.005    0.005 subprocess.py:1552(_execute_child)
     3238    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       79    0.001    0.000    0.005    0.000 core.py:3601(__init__)
        1    0.000    0.000    0.005    0.005 scanner.py:1(<module>)
       18    0.000    0.000    0.005    0.000 core.py:4889(parseImpl)
        5    0.000    0.000    0.005    0.001 __init__.py:109(import_module)
        5    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:1002(_gcd_import)
        1    0.000    0.000    0.004    0.004 mathtext.py:1(<module>)
      275    0.001    0.000    0.004    0.000 inspect.py:2555(replace)
      308    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
        1    0.000    0.000    0.004    0.004 _tricontour.py:1(<module>)
      344    0.002    0.000    0.004    0.000 inspect.py:534(_findclass)
       17    0.002    0.000    0.004    0.000 enum.py:200(<setcomp>)
      449    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      317    0.001    0.000    0.004    0.000 function_base.py:469(_add_docstring)
      985    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:867(__exit__)
      985    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:863(__enter__)
      647    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
        1    0.000    0.000    0.004    0.004 string.py:1(<module>)
       37    0.000    0.000    0.004    0.000 core.py:2984(parseImpl)
        1    0.000    0.000    0.004    0.004 _methods.py:1(<module>)
        1    0.000    0.000    0.004    0.004 scimath.py:1(<module>)
      279    0.004    0.000    0.004    0.000 {built-in method io.open_code}
      161    0.001    0.000    0.004    0.000 enum.py:75(__setitem__)
       82    0.000    0.000    0.004    0.000 __init__.py:253(make_alias)
        1    0.000    0.000    0.004    0.004 string.py:67(__init__)
       19    0.000    0.000    0.004    0.000 deprecation.py:316(delete_parameter)
        1    0.001    0.001    0.004    0.004 hmac.py:1(<module>)
        2    0.000    0.000    0.004    0.002 polynomial.py:1(<module>)
        1    0.001    0.001    0.004    0.004 __init__.py:793(copy)
      733    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:103(release)
     12/5    0.000    0.000    0.004    0.001 core.py:4092(streamline)
      279    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.004    0.004 npyio.py:1(<module>)
       38    0.000    0.000    0.004    0.000 typing.py:1435(_alias)
      279    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
      733    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:78(acquire)
      775    0.002    0.000    0.004    0.000 inspect.py:513(_is_wrapper)
      206    0.001    0.000    0.004    0.000 enum.py:938(__and__)
      351    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:176(cb)
      465    0.002    0.000    0.004    0.000 __init__.py:729(__getitem__)
        1    0.000    0.000    0.004    0.004 _fontconfig_pattern.py:57(_make_fontconfig_parser)
      788    0.002    0.000    0.004    0.000 __init__.py:954(<lambda>)
      842    0.002    0.000    0.004    0.000 sre_parse.py:81(groups)
     2338    0.003    0.000    0.003    0.000 {built-in method builtins.chr}
      778    0.002    0.000    0.003    0.000 __init__.py:678(_get)
