LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.355, Time: 3.350817 s
         932968 function calls (918580 primitive calls) in 5.861 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      317    0.004    0.000    0.012    0.000 function_base.py:483(add_newdoc)
        1    0.000    0.000    0.012    0.012 scale.py:1(<module>)
       29    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1164(create_module)
        1    0.000    0.000    0.012    0.012 inspect.py:1(<module>)
        1    0.000    0.000    0.012    0.012 _add_newdocs.py:1(<module>)
      462    0.003    0.000    0.012    0.000 font_manager.py:923(_json_decode)
       29    0.011    0.000    0.011    0.000 {built-in method _imp.create_dynamic}
      101    0.002    0.000    0.011    0.000 deprecation.py:128(deprecate)
      344    0.003    0.000    0.011    0.000 inspect.py:544(_finddoc)
      850    0.003    0.000    0.011    0.000 colors.py:213(_is_nth_color)
        1    0.000    0.000    0.011    0.011 _parser.py:2(<module>)
     8903    0.011    0.000    0.011    0.000 {method 'pop' of 'list' objects}
     6804    0.010    0.000    0.010    0.000 {method 'expandtabs' of 'str' objects}
       12    0.001    0.000    0.010    0.001 _docstring.py:57(<listcomp>)
     2714    0.007    0.000    0.010    0.000 util.py:185(is_consecutive)
   114/57    0.001    0.000    0.010    0.000 core.py:3724(<listcomp>)
     8792    0.010    0.000    0.010    0.000 {method 'rstrip' of 'str' objects}
     1186    0.002    0.000    0.010    0.000 {built-in method _abc._abc_instancecheck}
    59/43    0.001    0.000    0.010    0.000 typing.py:347(__getitem__)
       55    0.000    0.000    0.010    0.000 core.py:3643(<listcomp>)
      278    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
       14    0.000    0.000    0.010    0.001 core.py:115(doc_note)
        1    0.000    0.000    0.010    0.010 version.py:1(<module>)
 1291/421    0.007    0.000    0.010    0.000 sre_parse.py:174(getwidth)
     8397    0.009    0.000    0.009    0.000 inspect.py:2539(name)
      171    0.001    0.000    0.009    0.000 inspect.py:2865(replace)
       17    0.002    0.000    0.009    0.001 enum.py:157(__new__)
     3077    0.007    0.000    0.009    0.000 inspect.py:2821(<genexpr>)
        1    0.000    0.000    0.009    0.009 fromnumeric.py:1(<module>)
 3344/795    0.008    0.000    0.009    0.000 __init__.py:362(recursive_subclasses)
      720    0.004    0.000    0.009    0.000 inspect.py:493(unwrap)
     2515    0.006    0.000    0.009    0.000 sre_parse.py:172(append)
  266/157    0.001    0.000    0.009    0.000 core.py:1857(name)
     2500    0.006    0.000    0.009    0.000 sre_parse.py:160(__len__)
